hypothesis_id,date_proposed,rationale,academic_source,instrument,timeframe,feature_set,parameter_family,number_of_variants_tested,result,reason_rejected,whether_oos_was_viewed,whether_idea_was_modified_after_oos
H001,2026-09-14,"First half-hour return predicts last half-hour direction (intraday momentum, gradual information diffusion)",P001 (Gao Han Li Zhou 2018 JFE),MES (MESZ6),30min,"first-bar return sign only, original spec, no filters",single variant - exact original spec only (section 11A: replicate before modifying),1,"NEGATIVE - net P&L negative in all 3 cost scenarios (base -$268.63, conservative -$394.25, stress -$603.63 over 67 trades); GROSS P&L also negative (-$158.75) before any costs, so not purely a cost/execution problem. Win rate 43.3% (base). Naive (non-HAC) t-stat -1.16 to -2.60 across scenarios.","Sample is far too small to be conclusive either way (67 trades vs section 24's 100+ minimum; data window is only ~3 months, not the multi-year history the mandate requires - see data/metadata/depth_assessment.json). Recorded as a provisional non-pass, not a definitive rejection of the underlying academic effect. See reports/backtests/MES_IMOM_v1_smoke_test.json for full detail and caveats.",no formal IS/OOS split performed (sample too small to split meaningfully),no - this is the first and only run of this exact spec
H002,2026-09-14,"Dual moving-average crossover trend-following (fast SMA vs slow SMA, always-in-market stop-and-reverse) applied at intraday horizons per section 11E, since the source paper's own monthly-horizon result cannot be tested with the data this environment can reach","P007 (Szakmary, Shen & Sharma 2010, JBF) -- mechanism only; exact original parameter grid could not be verified (sciencedirect/researchgate/semanticscholar/repec all blocked by network egress), so standard window pairs (5/20, 10/30, 20/50) were used instead, clearly NOT attributed as the paper's own values","MES, MGC, MCL","15min, 30min","SMA(fast) vs SMA(close, slow), next-bar execution","(fast_window, slow_window) in {(5,20),(10,30),(20,50)}",18 (3 instruments x 2 timeframes x 3 parameter pairs),"NOT ROBUST -- net P&L (base cost scenario) flips sign across the 3 neighbouring parameter pairs in 4 of 6 instrument/timeframe combos (MES 30min: +957/+1623/-3180; MGC 30min: +797/+1005/-3467; MCL 15min: -692/+615/+1867; also directionally mixed). Only MES 15min (all positive, +539/+1515/+1760) and MCL 30min (all positive, +1864/+3206/+2820) hold direction across all 3 pairs, and even those show large, non-monotonic swings in magnitude. MGC 15min is consistently NEGATIVE across all 3 pairs (-3766/-3051/-1900). See reports/backtests/DUAL_MA_XOVER_v1_parameter_stability.json.","Section 21's own reject criterion: 'a parameter optimum is an isolated spike' -- this is exactly that pattern in most instrument/timeframe combinations. n_trades per test ranges 12-62, also below the 100-trade minimum (section 24). Not a rejection of the underlying trend-following literature (which is tested on monthly data over decades, not 15-95 days of intraday data) -- this only says the mechanism is not robust on the recent, short, high-frequency window available here.",no formal IS/OOS split - sample too small (see reason_rejected),"no - parameter grid was fixed (5/20, 10/30, 20/50) before any result was viewed"
H003,2026-09-14,"Non-price-momentum, non-mainstream mechanism per explicit user request: futures term-structure (contango/backwardation) as a return predictor, using real front-vs-next-contract daily prices rather than any price-history indicator (RSI/MACD/MA-crossover family)","P009 (Fama & French 1987, J. Business) and P010 (Erb & Harvey 2006, FAJ) -- commodity futures basis/roll-yield risk premium; mechanism only, single-instrument time-series adaptation since this project's 3-instrument universe cannot support the papers' actual cross-sectional design","MCL (front=MCLV6, next=MCLX6)",1day,"sign(ln(front_close/next_close)) -- backwardation=LONG, contango=SHORT, stop-and-reverse","none (zero free parameters -- sign of basis only, per section 19's preference for simple rules)","1 (single specification, no parameter search)","Net positive in all 3 cost scenarios (base +$4108.16, conservative +$4099.16, stress +$4084.16) and strikingly cost-robust (long holding periods mean transaction costs are a tiny fraction of P&L). BUT only 6 trades over 197 signal-days, because the curve stayed in backwardation 186/197 days (94%) -- nowhere near enough regime changes to say anything statistically. Critically: net P&L is 98.6% of a naive buy-and-hold benchmark over the identical window ($4166.36) -- the strategy cannot be distinguished from simply having been long a market that happened to rally +71% while mostly backwardated. See reports/backtests/ROLL_YIELD_CARRY_v1_MCL.json for the full benchmark comparison.","Not a demonstrated edge: (1) n=6 trades is even further below section 24's 100+ minimum than prior smoke tests, (2) the result is observationally equivalent to market beta in this sample -- section 21's own reject criteria include results driven by 'one or two huge trades' and this is close kin to that failure mode, (3) the papers' own designs are monthly and/or cross-sectional across a broad commodity panel; a single-instrument daily time-series adaptation is a genuinely different (and untested-in-the-literature) test, not a replication. A real test needs either multi-year data (many independent regime changes) or a broader instrument universe to rank cross-sectionally -- neither available here.",no formal IS/OOS split - sample too small (6 trades) to split meaningfully,no - zero-parameter specification was fixed before any result was viewed
H004,2026-09-14,"Direct user request: session-timed opening-range breakout (London/New York open style), with momentum and/or mean-reversion used only as a FILTER (not the primary signal), volume-confirmed support/resistance, and an internal fear/greed (volatility regime) measure -- tested on both price action AND filter layers together rather than a bare indicator crossover","P011 (Zarattini & Aziz 2023, SSRN 4416622) -- mechanism only, citation caveat since all re-verification hosts (SSRN included) were network-blocked; momentum/volume/vol-regime filters are this project's own additions, not from the cited paper","MES, MGC, MCL (all 3, RTH session only -- no London-session data on disk)","15min, 30min","opening-bar range [low,high]; first later-bar CLOSE breakout triggers entry at next bar's open, exit at session's own last-bar close; optional filters: momentum (gap alignment), volume (breakout-bar volume > session avg-so-far), vol_regime (FEAR/GREED from trailing-10-session opening-range-width median, an internal realized-vol proxy -- no external VIX data)",vol_regime_lookback=10 sessions (only parameter with a free value; momentum and volume filters are parameter-free directional/threshold rules),"36 (3 instruments x 2 bar sizes x 6 filter combinations: none, momentum, volume, momentum+volume, vol_regime=FEAR, vol_regime=GREED)","No filter combination shows a robust edge once the 36-cell multiple-comparisons exposure is accounted for. Results are inconsistent in sign across instruments and bar sizes for the same filter (e.g. momentum filter: +$1327 MES 15min, -$600 MGC 15min, +$361 MCL 15min). The single most extreme cell (MGC 30min, vol_regime=GREED: net +$2901, win rate 71%, naive t=2.67 on 28 trades) is the best among all 36 tested cells, but under an uncorrected null, at least one |t|>2.67 among 36 independent draws has roughly a 40% chance even with zero true edge -- consistent with noise, not a finding. Full sweep: reports/backtests/ORB_v1_MES_MGC_MCL_filters.json.","(1) No filter (momentum, volume, or vol_regime) shows a consistent sign/magnitude across instruments or bar sizes -- the core requirement for treating a filter as a real regime signal rather than a sample-splitting artifact. (2) 36 combinations were swept without any multiple-comparisons correction or held-out validation split, so the single best-looking cell (MGC 30min GREED) cannot be distinguished from a false positive -- same class of error flagged in section 21's reject criteria. (3) Per-cell trade counts (7-67) are far below section 24's 100+ minimum in every case, most severely in the filtered/regime-restricted cells (as few as 7-10 trades). (4) Only RTH (New York) session data was available -- the London-open component of the user's request was not tested at all, a known gap rather than a negative result.",no -- full available sample was used in a single in-sample sweep across all 36 cells; no train/test or walk-forward split was performed,no formal OOS step existed to modify after; all 36 filter combinations were specified before any result was viewed and none were added or dropped afterward
H005,2026-09-14,"Direct fix-attempt for H002's rejection reason (single fast/slow MA pair was fragile, sign-flipped with window choice). Blend multiple independent lookback horizons into a majority-vote consensus signal -- the standard robustness fix for that failure mode, and the one genuinely new mechanism (vs. asset-universe assumptions we can't meet) surfaced from an external strategy-research survey the user brought in this session.","P012 (Moskowitz, Ooi & Pedersen 2012, JFE, time-series momentum) -- mechanism only; the paper's own single 12-month lookback could not be tested (our daily data depth is 199-448 bars per instrument, far short of what a 12-month/252-day lookback needs), so 20/60/120-trading-day lookbacks were used instead; the majority-vote combination across horizons is this project's own construction, not a replication of a specific published voting rule","MES, MGC, MCL (front contract, daily bars)",1day,"vote = sum(sign(return_20d), sign(return_60d), sign(return_120d)); LONG if vote>0, SHORT if vote<0, tie skipped; stop-and-reverse, next-bar-open execution","3 fixed lookback windows (20/60/120 trading days), chosen ex-ante to fit available data depth, not searched/optimized","1 specification x 3 instruments x 3 cost scenarios (9 runs), plus a buy-and-hold benchmark per instrument","Net POSITIVE in raw dollar terms for all 3 instruments in the base scenario (MES +$3406 on 3 trades, MGC +$7343 on 20 trades, MCL +$646 on 3 trades). But every instrument badly underperforms a same-window buy-and-hold benchmark: MES captured only 84% of buy-and-hold, MGC 49%, MCL 16%. All three instruments happened to trend strongly upward over their available sample windows. Full detail: reports/backtests/MULTI_HORIZON_TREND_v1_MES_MGC_MCL.json.","Same failure mode as H003 (roll-yield): a nominally positive P&L that is mostly explained by the sample period's own directional drift (a persistent bull run in all 3 instruments over these specific windows), not a demonstrated timing edge -- the strategy's occasional flat/short periods cost more than they saved versus simply staying long. Trade counts (3, 20, 3) are far too small for naive_t_stat (all under 1.0, not HAC-adjusted) to mean anything, consistent with every prior hypothesis in this ledger. The consensus-voting mechanism DOES appear to fix H002's specific complaint (whipsaw/fragility -- it trades far less often and more decisively), but reducing trade frequency in a persistently trending sample necessarily reduces trend capture too, so the fix traded one failure mode for another rather than producing a robust edge.","no formal IS/OOS split -- sample too small (3-20 trades per instrument) to split meaningfully, same limitation as H003","no -- lookback windows (20/60/120) were fixed ex-ante based on available data depth, before any result was viewed, and not adjusted afterward"
H006,2026-09-14,"Item #2 from the user-requested strategy-ranking follow-up: apply inverse-realized-vol position sizing on top of H005's multi-horizon trend consensus signal. MES/MGC/MCL are micro contracts specifically sized so graduated position sizing is realistically implementable, not just theoretical.","P013 (Barroso & Santa-Clara 2015, JFE, volatility-managed momentum) -- mechanism only (inverse-vol position scaling), not a replication of the paper's own cross-sectional equity-momentum setting, which this project cannot test with 3 futures; citation caveat, network egress blocked all re-verification hosts","MES, MGC, MCL (front contract, daily bars)",1day,"same vote signal as H005 (20/60/120-day lookback consensus), position weight = clip(target_daily_vol / trailing-20-day realized vol, 0, 3.0) * sign(vote); continuously rebalanced daily mark-to-market (not discrete stop-and-reverse trades, unlike every other engine in this project)","target_annual_vol=15% (fixed, not fit), vol_lookback=20 days (fixed), max_weight=3.0 cap -- all chosen ex-ante, not optimized","1 specification x 3 instruments x 3 cost scenarios (9 runs), plus buy-and-hold benchmark per instrument","Net POSITIVE in raw dollar terms for all 3 instruments in base scenario (MES +$1958, MGC +$4619, MCL +$703), but underperforms buy-and-hold even more than the UNSCALED H005 version in 2 of 3 instruments: MES captured only 48% of buy-and-hold (vs H005's 84%), MGC 31% (vs H005's 49%), MCL 17% (vs H005's 16%, roughly unchanged). Full detail: reports/backtests/VOL_SCALED_TREND_v1_and_PORTFOLIO.json.","Vol-scaling made relative performance WORSE, not better, for 2 of 3 instruments. Mechanism-level explanation: in this sample, the strongest parts of each instrument's rally coincided with elevated realized volatility, so scaling exposure DOWN during high-vol periods capped upside capture during exactly the periods that mattered most for a buy-and-hold comparison -- the same caveat this project's own P013 citation entry flags from later literature. Sharpe-like ratios (0.65 MES, 0.45 MGC, 1.71 MCL) are not meaningfully interpretable given the small, non-independent daily-return samples (78-327 days depending on instrument) and this project's standing skepticism about naive risk-adjusted ratios on small samples.","no formal IS/OOS split -- same limitation as H005, sample too small to split meaningfully",no -- target_annual_vol/vol_lookback/max_weight were fixed ex-ante before any result was viewed
H007,2026-09-14,"Item #3 from the user-requested strategy-ranking follow-up: test whether combining MES (equity index), MGC (gold), and MCL (crude oil) -- three genuinely uncorrelated economic drivers -- into one portfolio produces real diversification benefit, rather than testing one instrument at a time as every prior hypothesis in this ledger has done.","General portfolio-diversification principle (Markowitz-style risk reduction from imperfectly correlated return streams); no single paper cited for this specific 3-asset combination, which is this project's own construction given its exact 3-instrument universe","MES + MGC + MCL combined (front contracts, daily bars)",1day,"sum of each instrument's H006 (VOL_SCALED_TREND_v1) daily net P&L, aligned by calendar date over the 78-day window where all 3 instruments have a valid signal simultaneously (2026-05-20 to 2026-09-10 -- bounded by MCL's shorter data depth)",none beyond H006's own (no new free parameters -- simple equal-dollar-weight summation across the 3 instruments' existing daily P&L series),"1 (single portfolio construction, no weighting scheme search)","Real, measurable diversification benefit in RISK terms: daily P&L pairwise correlations were negative or near-zero across all 3 pairs (MES-MGC -0.43, MES-MCL -0.23, MGC-MCL -0.04), and portfolio daily P&L stdev was ~2.1x SMALLER than the naive sum of the 3 instruments' individual stdevs, with portfolio max drawdown ($6,211) much better than the sum of individual max drawdowns ($9,888). But the portfolio's RETURN was net NEGATIVE over this window (-$2,140), while a naive buy-and-hold of the same 3 instruments over the identical window was net POSITIVE (+$176) -- diversification reduced risk exactly as theory predicts, but did not create a return edge where the underlying signal (H006) didn't already have one over this specific window.","The diversification MECHANISM is validated (real, substantial risk reduction from combining genuinely uncorrelated asset classes) but this is not sufficient on its own to call the strategy a finding: risk-reducing a signal with no demonstrated directional edge does not manufacture an edge, and over the one overlapping window available (only 78 days -- itself a real sample-size limitation driven by MCL's shallower data depth), the combined portfolio lost money while simply holding the same 3 instruments would have made a small profit. A meaningful test of whether this diversification benefit translates into better risk-adjusted RETURNS (not just lower risk) needs a longer overlapping sample than this project's current data depth provides.",no formal IS/OOS split -- 78 overlapping days is too short to split meaningfully,"no -- the portfolio construction (equal-dollar-weight sum, no optimization) was fixed before any result was viewed"
H008,2026-09-14,"User-requested strategy #2 from a follow-up ranking exercise: a market-neutral front/next spread trade, directly fixing H003 (ROLL_YIELD_CARRY_v1)'s specific failure mode -- H003 traded the front contract outright and was 98.6% explained by buy-and-hold beta. This position (long front/short next or the reverse, equal size) cancels first-order outright exposure by construction, so any result is a real finding about the spread itself, not disguised beta.","P015 (Gatev, Goetzmann & Rouwenhorst 2006, RFS, pairs trading) -- mechanism only (hedged spread z-score entry/exit), not a replication of the paper's own cross-sectional equity-pairs setting, which this project cannot test with only 3 futures; citation caveat, network egress blocked all re-verification hosts","MCL (front=MCLV6, next=MCLX6)",1day,"spread(t) = front_close(t) - next_close(t); z-score vs trailing 20-day mean/stdev; |z|>1.5 opens a hedged spread position (direction per sign of z), |z|<0.25 flattens, otherwise holds","lookback=20, entry_z=1.5, exit_z=0.25 -- fixed ex-ante (standard mean-reversion/pairs-trading convention), not fit to this data",1 specification x 3 cost scenarios (3 runs),"Net NEGATIVE in all 3 cost scenarios (base -$313, conservative -$343, stress -$393), only 10 trades (7 short-spread, 3 long-spread) over 199 days, win rate 30%, naive t-stat -0.95. See reports/backtests/SPREAD_MEAN_REV_v1_MCL.json. UPDATE (same session, extended history): re-run on the full 712-bar (~2.9yr) MCL front/next history instead of the original 199-bar slice -- n_trades grew from 10 to 42 (19 long-spread, 23 short-spread), net still NEGATIVE in all 3 scenarios (base -$386, conservative -$512, stress -$722), naive t-stat -1.16 (base). Unlike H009's intraday leg, this extension is NOT compromised by the stale-daily-bar issue found below, since the z-score signal only uses bar-to-bar CLOSE levels, which are genuine even on flat-open bars. See reports/backtests/MCL_EXTENDED_HISTORY_H008_H009.json.","No edge, and unlike H003 this is a CLEAN negative -- the position is genuinely hedged (long front/short next, equal size), so the loss cannot be blamed on unhedged market beta the way H003's was. The real limiting factor is n=10 trades over the ~9-month window on disk: MCL's own front/next spread simply didn't deviate far enough from its own trailing mean, often enough, to generate a meaningful sample at these fixed thresholds. This is a data-availability limitation (a longer history, or looser entry thresholds, might change this) rather than confirmed absence of the effect -- but as tested, it does not clear this project's bar. UPDATE: the larger, legitimate 42-trade sample confirms the original conclusion rather than overturning it -- still net negative, still no edge, now with 4x the trades so the negative result carries more weight.",no formal IS/OOS split -- n=10 trades is far too small to split meaningfully,no -- lookback/entry_z/exit_z were fixed before any result was viewed
H009,2026-09-14,"User-requested strategy #1 from the same follow-up ranking exercise: decompose each day into overnight (close-to-open) and intraday (open-to-close) legs and test which one, if either, structurally carries the return. Not a trend/momentum/carry variant like H001-H007 -- a question about WHERE return accrues within the day, never tested this session.","P014 (Lou, Polk & Skouras 2019, JFE, overnight vs intraday returns) -- mechanism (session-return decomposition) only, original finding is on US equities not futures on gold/oil; citation caveat, network egress blocked all re-verification hosts","MES, MGC, MCL (front contract, daily bars)",1day,"overnight leg: BUY at day i-1 close, SELL at day i open, every day; intraday leg: BUY at day i open, SELL at day i close, every day; both always long (descriptive decomposition, not a directional search)",none (zero free parameters -- pure decomposition of already-known open/close prices),"2 legs x 3 instruments x 3 cost scenarios (18 runs), plus a chronological split-sample robustness check on the two strongest cells","Heterogeneous by instrument. MCL: intraday leg strongly positive (net +$3260 base, t=2.43, captures 78% of buy-and-hold) and CONSISTENT across both halves of the sample when split chronologically (first half t=1.91, second half t=1.66, similar magnitude both times) -- survives the stress cost scenario losing only ~24%. MGC: overnight leg positive (net +$20,156 base, t=1.59, actually EXCEEDS full-period buy-and-hold at 134%) but the split-sample check shows the effect concentrated in the first half (t=2.72 first half vs t=0.52 second half) -- directionally consistent but decaying, not confirmed stable. MES: both legs weak (overnight captures only 42% of buy-and-hold, intraday only 3%), no real finding either direction. Full detail: reports/backtests/SESSION_DECOMP_v1_MES_MGC_MCL.json. UPDATE (same session): attempted to extend the MCL intraday-leg test using the full 712-bar (~2.9yr) MCL history per user request. Discovered a DATA-QUALITY finding instead of a corroborating result: 530/712 (74%) of MCL's daily bars this far back have open==close EXACTLY -- stale single-quote marks, not genuine intraday OHLC (same failure mode already flagged for 4-hour bars in depth_assessment.json, not previously checked at daily resolution this far back). Staleness is heavily front-loaded: quartile 1 is 100% flat, quartile 2 99%, quartile 3 90%, quartile 4 (nearly identical to the original 199-day window) only 9% flat. The intraday leg's open-to-close measurement is structurally zero on a flat bar, so quarters 1-3 cannot provide a fair test -- this is NOT evidence the effect is unstable, it is evidence this data source cannot genuinely extend this SPECIFIC test further back than ~9 months. See data/metadata/depth_assessment.json (second_revision_daily_bar_staleness) and reports/backtests/MCL_EXTENDED_HISTORY_H008_H009.json. HAC RECHECK (same session, after H015): added a Newey-West HAC-adjusted significance module (futures_quant/research/significance.py) -- every prior t-stat in this ledger was naive (i.i.d.-assuming). Applied to MCL's intraday leg (n=199, the strongest still-standing result): naive t=2.43 shrinks to HAC t=2.19 (lag=1), 2.06 (Newey-West rule-of-thumb lag=4), 2.03 (lag=5), 2.01 (lag=10) -- modest shrinkage from autocorrelation correction, but the result STAYS ABOVE the conventional 1.96 two-tailed significance threshold at every lag tested, 1 through 10. This is the first result in this project's ledger to survive a genuine autocorrelation-robust significance check, not just a naive one -- it does not become a confirmed finding (still short/absolute sample by academic standards, no true held-out OOS period, HAC corrects autocorrelation but not the underlying short-sample-window limitation), but it is now the single most rigorously-vetted result in this ledger. MGC's overnight leg (n=447, previously flagged as decaying/not confirmed via the split-sample check) was also re-checked for consistency: naive t=1.59, HAC t=1.63/1.62/1.57 across lags 1/5/10 -- barely moves and stays below 1.96 either way, no change to its rejected status. See reports/backtests/HAC_SIGNIFICANCE_RECHECK.json.","MCL's intraday-leg result is NOT rejected -- it is the first result in this project's hypothesis ledger that (a) beats a meaningful fraction of buy-and-hold, (b) has a trade count (199, ~100 per half) above the levels every other rejected hypothesis was flagged for being short of, (c) has the highest naive t-stat of anything tested this session (2.43), and (d) is CONSISTENT in both magnitude and significance across a chronological split-sample check, the strongest robustness signal available given current data depth. It is marked provisional rather than a demonstrated edge because naive_t_stat is still not HAC/Newey-West adjusted, the sample (199 days) is still short by absolute academic standards, and no true out-of-sample period exists beyond the split check. MGC's overnight-leg result and MES's results (both legs) ARE rejected on this project's standing criteria: MGC's apparent edge fails the split-sample stability check (front-loaded, decaying), and MES shows no meaningful effect either direction. UPDATE: the MCL intraday leg's original t=2.43 result on the 199-day window is UNCHANGED (same data, not re-run) and remains the strongest result in this ledger, but its 'provisional pass' status cannot be upgraded to a confirmed finding via more IBKR history, because no further genuine history exists for this specific test through this connector. Status stays provisional, now with an explicit note that this connector has hit its real ceiling for corroborating this particular hypothesis -- a longer, independent out-of-sample period would need an external data vendor (Databento, CME DataMine, Barchart per section 14), not more calls to this connector.","a chronological split-sample check was performed (not a true held-out OOS period, since both halves come from the same already-analyzed dataset) -- MCL intraday held up across the split; MGC overnight did not","no -- the split-sample check was performed on the specification exactly as it produced the full-sample result, with no parameter changes; it decreased confidence in MGC's result and increased confidence in MCL's, but did not alter the underlying rule being tested"
H010,2026-09-14,"User-cited retail trading heuristic: 'buy [instrument] at market open, sell the next day, repeat daily.' Originally cited for Micron (MU), a stock this project has no data or infrastructure for -- tested here as the analogous mechanism on MES/MGC/MCL, the only instruments this project covers. New third leg ('extended') added to the SESSION_DECOMP_v1 engine: buy today's open, sell tomorrow's open, as ONE continuous position (single round-trip cost per day) rather than H009's two separate overnight+intraday legs.","No specific academic paper -- this is a user-supplied retail trading heuristic, not a published strategy. Tested on its own terms as a mechanically well-defined rule.","MES, MGC, MCL (front contract, daily bars; MCL uses the extended ~2.9yr history since this leg is NOT affected by the open==close staleness issue found testing H009 -- opens genuinely differ day-to-day even in the 'stale' quarters, confirmed by direct check)",1day,"buy at day i's open, sell at day i+1's open, every day, always long (zero parameters, zero signal -- this IS the entire heuristic as stated)",none,"1 specification x 3 instruments x 3 cost scenarios (9 runs), plus a buy-and-hold benchmark per instrument","Net POSITIVE in the base scenario for MES (+$2857, 71% of buy-and-hold) and MGC (+$13,771, 92% of buy-and-hold), roughly breakeven for MCL (+$293, only 10% of buy-and-hold). Under the conservative/stress scenarios MCL turns net NEGATIVE (-$774, -$2551) and both MES and MGC degrade substantially. naive_t_stat never exceeds 0.94 (MGC base) across any instrument/scenario -- the strongest cell is still weaker than the weakest 'promising' result elsewhere in this ledger. See reports/backtests/H010_H011_MES_MGC_MCL.json.","This heuristic is MATHEMATICALLY INCAPABLE of beating a true buy-and-hold on the same instrument, and the backtest confirms this structurally rather than just empirically: buying at open and selling at the next open, repeated daily, captures essentially the SAME cumulative price change as holding continuously from the first day's open to the last day's close (both are just 'the total move over the period'), but the daily version pays a full round-trip transaction cost EVERY SINGLE DAY while buy-and-hold pays it ONCE. Every instrument's ratio_to_benchmark is below 1.0 for exactly this reason -- the heuristic isn't a bad directional bet, it's an identical directional bet to buy-and-hold with unnecessary daily costs added on top. As stated (unconditional, no signal, no exit rule), this heuristic can only equal buy-and-hold in a zero-cost world and must underperform it in any real one. It would only become genuinely different from buy-and-hold if paired with an actual entry/exit SIGNAL (skip some days, reverse on others) -- which is a different, untested hypothesis, not this one.","no formal IS/OOS split -- not needed here since the result follows from cost arithmetic, not a fitted pattern that could overfit","no -- the rule (buy open, sell next open, every day) was tested exactly as stated by the user, unconditionally, before any result was viewed"
